Region,1_2_Facility_Name,1_6_Population_Served,1_3_Facility Category,Lat,Lon,2_Inpatients_Bed_2019,2_Inpatients_Bed_2020,2_Inpatients_Bed_2021,2_Inpatients_Bed_2022,2_Inpatients_Bed_2023,,3_Patients_Admitted_2019,3_Patients_Admitted_2020,3_Patients_Admitted_2021,3_Patients_Admitted_2022,3_Patients_Admitted_2023,3_Patients_Admitted_2023_1,4_Inpatients_days_2019,4_Inpatients_days_2020,4_Inpatients_days_2021,4_Inpatients_days_2022,4_Inpatients_days_2023,4_Inpatients_days_2023_1,,,,,,,,,,,5_1_Delivery_2019,5_1_Delivery_2020,5_1_Delivery_2021,5_1_Delivery_2022,5_1_Delivery_2023,5_1_Delivery_2023_1,8_1_Deliveries_all_2019,8_1_Deliveries_all_2020,8_1_Deliveries_all_2021,8_1_Deliveries_all_2022,8_1_Deliveries_all_2023,8_1_Deliveries_all_2023_1,,,,,,8_1_4_CS_perc_2019,8_1_4_CS_perc_2020,8_1_4_CS_perc_2021,8_1_4_CS_perc_2022,8_1_4_CS_perc_2023,8_2_Stillbirth_2019,8_2_Stillbirth_2020,8_2_Stillbirth_2021,8_2_Stillbirth_2022,8_2_Stillbirth_2023,8_2_Stillbirth_2023_1,,,8_3_Livebirth_2019,8_3_Livebirth_2020,8_3_Livebirth_2021,8_3_Livebirth_2022,8_3_Livebirth_2023,8_3_Livebirth_2023_1,8_4_Neonatal_Transfer_2019,8_4_Neonatal_Transfer_2020,8_4_Neonatal_Transfer_2021,8_4_Neonatal_Transfer_2022,8_4_Neonatal_Transfer_2023,8_4_Neonatal_Transfer_2023_1,8_5_Neonatal_Deaths_2019,8_5_Neonatal_Deaths_2020,8_5_Neonatal_Deaths_2021,8_5_Neonatal_Deaths_2022,8_5_Neonatal_Deaths_2023,8_5_Neonatal_Deaths_2023_1,,,,,,8_8_Maternal_Transfer_2019,8_8_Maternal_Transfer_2020,8_8_Maternal_Transfer_2021,8_8_Maternal_Transfer_2022,8_8_Maternal_Transfer_2023,8_8_Maternal_Transfer_2023_1,8.9_Maternal_Mortality_2019,8.9_Maternal_Mortality_2020,8.9_Maternal_Mortality_2021,8.9_Maternal_Mortality_2022,8.9_Maternal_Mortality_2023,8.9_Maternal_Mortality_2023_1,,,,,,13_1_Building_Size_sqm,,Year_of_Construction,Year_of_last_major_refurbishment,
Andijan,Asaka DMH #2,"89,603",DMH,40.643966,72.235426,90,90,90,90,90,1.00,"5,823","3,435","5,845","5,434","3,913","5,217","32,058","19,315","32,907","29,602","22,239","29,652",5.51,5.62,5.63,5.45,5.68,97.59,58.80,100.17,90.11,90.26,"3,149","2,301","3,902","3,574","2,459","3,279","3,149","2,301","3,902","3,574","2,459","3,279",194,139,407,433,475,0.06,0.06,0.10,0.12,0.14,49,25,56,34,19,25,38,1.66,"2,912","2,147","3,452","3,120","2,093","2,791",65,29,90,73,23,31,49,25,56,34,19,25,16.83,11.64,16.22,10.90,9.08,27,18,41,35,19,25,1,0,0,1,0,0,34.34,0.00,0.00,32.05,0.00,"1,282",14,1969,2015,8
Andijan,Balikchi DH #1,"192,085",MDH,40.876744,71.979361,60,60,60,60,60,0.31,"5,563","5,500","5,712","5,885","4,608","6,144","26,510","24,567","24,443","24,673","4,577","25,219",4.77,4.47,4.28,4.19,4.10,121.05,112.18,111.61,112.66,115.16,"2,159","2,678","2,432","2,466","2,113","2,817","2,159","2,678","2,432","2,466","2,113","2,817",334,418,462,453,572,0.15,0.16,0.19,0.18,0.20,26,34,22,20,23,31,27,1.27,"2,143","2,660","2,426","2,464","2,105","2,807",35,26,24,26,80,107,10,9,4,8,4,5,4.67,3.38,1.65,3.25,1.90,33,19,39,22,28,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"1,323",22,1985,2023,0
Andijan,Balikchi DH #2,"192,085",MDH,40.902838,71.851865,50,50,50,50,50,0.26,"3,623","4,197","4,339","3,828","2,619","3,492","17,128","15,653","18,070","15,105","10,660","14,213",4.73,3.73,4.16,3.95,4.07,93.85,85.77,99.01,82.77,77.88,"1,898","1,978","2,322","2,325","1,345","1,793","1,898","1,978","2,322","2,325","1,345","1,793",124,114,158,332,199,0.07,0.06,0.07,0.14,0.11,17,27,21,26,13,17,22,1.39,"1,881","1,951","2,301","2,299","1,332","1,776",54,26,51,42,28,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,54,26,51,42,28,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"1,002",20,1985,2023,0
Andijan,Izboskan DH,"250,333",MDH,40.893971,72.258867,135,135,135,135,135,0.54,"10,719","10,242","11,960","11,718","8,898","11,864","44,004","35,336","42,272","40,911","30,540","40,720",4.11,3.45,3.53,3.49,3.43,89.30,71.71,85.79,83.03,82.64,"4,569","5,292","5,445","5,181","3,708","4,944","4,569","5,292","5,514","5,254","3,748","4,997",729,"1,068","1,283","1,430","1,182",0.16,0.20,0.24,0.28,0.24,58,79,69,73,40,53,66,1.66,"4,511","5,213","5,445","5,181","3,708","4,944",198,241,295,341,214,285,42,79,69,73,29,39,9.31,15.15,12.67,14.09,7.82,556,625,948,882,723,964,2,1,1,2,1,1,44.34,19.18,18.37,38.60,26.97,"2,000",15,1984,2023,0
Andijan,Karasuv CMH,"35,997",CMH,40.728556,72.872356,60,60,60,60,60,1.67,"1,489","1,365","1,592","1,364","1,135","1,513","12,492","9,120","11,150","10,017","7,821","10,597",8.39,6.68,7.00,7.34,7.00,57.04,41.64,50.91,45.74,48.39,700,656,717,572,545,727,700,656,717,572,544,725,0,3,1,0,3,0.00,0.00,0.00,0.00,0.00,0,0,1,1,3,4,1,0.22,700,656,716,571,542,723,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,727,12,1974,2011,12
Andijan,Khanabad DH,"41,049",MDH,40.799108,72.994478,55,55,55,55,55,1.34,"2,053","2,049","2,043","2,457","1,774","2,365","9,215","9,805","10,245","10,712","9,030","12,040",4.49,4.79,5.01,4.36,5.09,45.90,48.84,51.03,53.36,59.98,"1,006","1,035","1,069","1,145",780,"1,040","1,006","1,035","1,069","1,145",780,"1,040",149,157,182,202,143,0.15,0.15,0.17,0.18,0.14,15,10,4,8,4,5,8,1.01,991,"1,025","1,064","1,137",776,"1,035",4,9,8,11,6,8,1,3,0,1,0,0,1.01,2.93,0.00,0.88,0.00,15,32,21,26,17,23,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"2,482",45,1976,2016,7
Andijan,Khujabad DH,"117,177",MDH,40.606581,72.648097,102,102,102,102,105,0.90,"5,042","5,584","5,722","5,771","5,387","7,183","21,249","19,626","22,857","24,171","18,134","24,179",4.21,3.51,3.99,4.19,3.37,55.44,51.21,59.64,63.07,63.09,"2,558","2,653","2,763","3,021","2,370","3,160","2,544","2,649","2,757","3,016","2,361","3,148",465,488,495,487,613,0.18,0.18,0.18,0.16,0.19,22,17,11,19,15,20,18,0.76,"2,531","2,636","2,759","3,002","2,355","3,140",32,25,18,27,52,69,8,13,9,14,11,15,3.16,4.93,3.26,4.66,4.67,24,22,24,23,15,20,1,1,0,1,1,1,39.51,37.94,0.00,33.31,42.46,51,0,2021,0,
Andijan,Altynkul DH,"166,636",MDH,,,,,,,85,0.51,"4,713","4,263","3,821","4,264",,"5,276","31,156","32,978","29,861","27,240","20,222","26,963",6.61,7.74,7.81,6.39,5.11,100.42,106.29,96.25,87.80,86.91,"2,825","2,999","1,640","2,718",,"2,816",,,,,,,550,627,438,583,668,0.19,0.21,0.27,0.21,0.24,0,0,0,0,,0,0,0.00,"2,822","2,953","1,644","2,750",,"2,832",21,20,24,21,,28,7,9,13,7,,13,2.48,3.05,7.91,2.55,4.59,8,8,10,14,,16,0,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,"1,842",22,2012,2023,0
Andijan,Markhamat DH,"166,066",MDH,,,,,,,80,0.48,"6,317","6,779","7,319","6,893",,"8,925","26,760","25,097","29,285","27,643","20,488","27,317",4.24,3.70,4.00,4.01,3.06,91.64,85.95,100.29,94.67,93.55,"3,325","3,976","4,150","3,960",,"5,160",,,,,,,512,784,702,797,936,0.15,0.20,0.17,0.20,0.18,11,10,9,13,,12,11,0.31,"3,156","3,979","4,150","3,960",,"5,160",132,140,135,141,,184,14,9,13,24,,19,4.44,2.26,3.13,6.06,3.68,0,0,0,0,,0,0,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,"1,162",15,1982,2022,1
Andijan,Ulugnar DH,"62,970",MDH,40.74876,71.70853,35,35,35,35,35,0.56,"2,756","2,556","2,874","2,647","2,017","2,689","15,346","11,282","13,413","12,442","9,950","13,267",5.57,4.41,4.67,4.70,4.93,120.13,88.31,104.99,97.39,103.85,"1,023","1,262","1,115",988,696,928,"1,023","1,262","1,115",988,697,929,106,128,114,103,55,0.10,0.10,0.10,0.10,0.06,8,17,6,5,2,3,8,0.95,"1,018","1,253","1,112",988,699,932,8,10,8,6,6,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,150,30,186,190,169,225,1,0,1,0,1,1,98.23,0.00,89.93,0.00,143.06,292,8,1979,0,
