Region,1_2_Facility_Name,1_6_Population_Served,1_3_Facility Category,Lat,Lon,2_Inpatients_Bed_2019,2_Inpatients_Bed_2020,2_Inpatients_Bed_2021,2_Inpatients_Bed_2022,2_Inpatients_Bed_2023,,3_Patients_Admitted_2019,3_Patients_Admitted_2020,3_Patients_Admitted_2021,3_Patients_Admitted_2022,3_Patients_Admitted_2023,3_Patients_Admitted_2023_1,4_Inpatients_days_2019,4_Inpatients_days_2020,4_Inpatients_days_2021,4_Inpatients_days_2022,4_Inpatients_days_2023,4_Inpatients_days_2023_1,,,,,,,,,,,5_1_Delivery_2019,5_1_Delivery_2020,5_1_Delivery_2021,5_1_Delivery_2022,5_1_Delivery_2023,5_1_Delivery_2023_1,8_1_Deliveries_all_2019,8_1_Deliveries_all_2020,8_1_Deliveries_all_2021,8_1_Deliveries_all_2022,8_1_Deliveries_all_2023,8_1_Deliveries_all_2023_1,,,,,,8_1_4_CS_perc_2019,8_1_4_CS_perc_2020,8_1_4_CS_perc_2021,8_1_4_CS_perc_2022,8_1_4_CS_perc_2023,8_2_Stillbirth_2019,8_2_Stillbirth_2020,8_2_Stillbirth_2021,8_2_Stillbirth_2022,8_2_Stillbirth_2023,8_2_Stillbirth_2023_1,,,8_3_Livebirth_2019,8_3_Livebirth_2020,8_3_Livebirth_2021,8_3_Livebirth_2022,8_3_Livebirth_2023,8_3_Livebirth_2023_1,8_4_Neonatal_Transfer_2019,8_4_Neonatal_Transfer_2020,8_4_Neonatal_Transfer_2021,8_4_Neonatal_Transfer_2022,8_4_Neonatal_Transfer_2023,8_4_Neonatal_Transfer_2023_1,8_5_Neonatal_Deaths_2019,8_5_Neonatal_Deaths_2020,8_5_Neonatal_Deaths_2021,8_5_Neonatal_Deaths_2022,8_5_Neonatal_Deaths_2023,8_5_Neonatal_Deaths_2023_1,,,,,,8_8_Maternal_Transfer_2019,8_8_Maternal_Transfer_2020,8_8_Maternal_Transfer_2021,8_8_Maternal_Transfer_2022,8_8_Maternal_Transfer_2023,8_8_Maternal_Transfer_2023_1,8.9_Maternal_Mortality_2019,8.9_Maternal_Mortality_2020,8.9_Maternal_Mortality_2021,8.9_Maternal_Mortality_2022,8.9_Maternal_Mortality_2023,8.9_Maternal_Mortality_2023_1,,,,,,13_1_Building_Size_sqm,,Year_of_Construction,Year_of_last_major_refurbishment,
Fergana,Fergana RPC,"3,976,300",RPC,40.369197,71.792625,220,220,220,220,220,0.36,"11,333","10,595","11,121","10,703","8,822","11,763","70,608","62,553","67,518","67,471","53,974","71,965",6.23,5.90,6.07,6.30,6.12,87.93,77.90,84.08,84.02,89.62,"6,542","6,850","7,223","6,916","5,430","7,240","6,542","6,850","7,223","6,916","5,430","7,240","1,709","1,955","2,282","2,542","2,805",0.26,0.29,0.32,0.37,0.39,234,195,234,221,197,263,229,3.98,"6,639","6,983","7,338","7,039","5,552","7,403",69,40,55,71,69,92,128,140,125,136,88,117,19.28,20.05,17.03,19.32,15.85,11,15,23,36,19,25,3,2,0,0,0,0,45.19,28.64,0.00,0.00,0.00,"38,056",173,1978,2023,0
Fergana,Besharik IDPC,"238,436",IDPC,40.439032,70.584461,100,100,100,100,115,0.48,"9,158","9,155","9,044","10,410","9,114","12,152","44,544","43,048","45,582","49,302","37,120","49,493",4.86,4.70,5.04,4.74,4.07,106.12,102.56,108.59,117.46,117.91,"4,829","5,138","5,193","5,390","4,040","5,387","4,829","5,138","5,193","5,390","4,040","5,387",548,680,792,852,940,0.11,0.13,0.15,0.16,0.17,18,40,38,40,40,53,38,0.92,"4,842","5,141","5,175","5,397","3,835","5,113",10,13,13,5,3,4,7,3,14,16,7,9,1.45,0.58,2.71,2.96,1.83,320,182,163,131,93,124,0,0,1,0,1,1,0.00,0.00,19.32,0.00,26.08,"5,000",43,2015,2022,1
Fergana,Margilan IDPC,"242,533",IDPC,40.474527,71.757252,116,116,116,116,116,0.48,"11,629","9,941","14,975","9,788","7,948","10,597","50,952","44,528","56,114","48,302","38,899","51,865",4.38,4.48,3.75,4.93,4.89,120.34,105.17,132.53,114.08,122.50,"6,190","5,839","7,143","5,747","4,663","6,217","4,303","3,810","5,984","4,524","4,673","6,231","1,177",855,997,892,770,0.19,0.15,0.14,0.16,0.12,37,36,37,39,45,60,42,0.97,"4,266","3,774","5,947","4,485","4,628","6,171",5,8,12,2,6,8,0,0,0,16,0,0,0.00,0.00,0.00,3.57,0.00,59,65,52,73,45,60,0,3,2,2,1,1,0.00,79.49,33.63,44.59,21.61,"3,047",26,1989,2022,1
Fergana,Kokand City IDPC,"303,620",IDPC,40.520501,70.949349,175,175,175,175,175,0.58,"11,812","11,127","10,925","11,442","9,584","12,779","56,097","51,643","47,158","51,565","41,833","55,777",4.75,4.64,4.32,4.51,4.36,87.82,80.85,73.83,80.73,87.32,"8,329","8,265","7,719","7,976","6,538","8,717","8,329","8,265","7,719","7,976","6,538","8,717","1,208","1,122",880,932,"1,045",0.15,0.14,0.11,0.12,0.12,9,21,31,42,42,56,32,0.48,"8,320","8,244","7,688","7,934","6,496","8,661",7,7,4,4,2,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,49,55,64,43,56,75,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"5,938",34,1974,2022,1
Fergana,Kushtepa DH,"203,547",MDH,40.477674,71.64958,110,110,110,110,110,0.54,"9,021","8,992","9,816","10,516","7,927","10,569","44,335","39,866","44,152","44,740","33,630","44,840",4.91,4.43,4.50,4.25,4.24,110.42,99.29,109.97,111.43,111.68,"3,968","4,811","5,145","5,249","4,157","5,543","3,968","4,811","5,145","5,249","4,157","5,543",288,409,511,513,637,0.07,0.09,0.10,0.10,0.11,4,8,8,15,18,24,12,0.28,"3,985","4,843","5,191","5,279","4,180","5,573",5,4,6,5,3,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,168,8,78,75,60,80,2,1,1,2,1,1,50.19,20.65,19.26,37.89,23.92,875,8,1986,2013,10
Fergana,Oltiarik DH,"56,738",MDH,40.390113,71.478411,110,110,110,110,110,1.94,"10,531","10,727","10,403","11,754","8,715","11,620","43,700","43,156","47,821","45,716","33,758","45,011",4.15,4.02,4.60,3.89,3.87,108.84,107.49,119.11,113.86,112.11,"5,196","5,682","5,395","6,376","4,043","5,391","5,196","5,682","5,395","6,376","4,043","5,391",372,566,778,709,808,0.07,0.10,0.14,0.11,0.15,17,38,47,50,34,45,39,0.95,"4,454","4,969","5,418","5,352","3,991","5,321",11,12,13,12,4,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,67,83,92,98,90,120,2,2,2,2,0,0,44.90,40.25,36.91,37.37,0.00,"2,100",19,1978,2015,8
Fergana,Uzbekiston DH,"230,721",MDH,40.373179,70.837084,135,135,135,135,135,0.59,"9,993","9,618","10,885","10,405","8,306","11,075","54,154","47,603","51,310","48,452","34,551","46,068",5.42,4.95,4.71,4.66,4.16,109.90,96.61,104.13,98.33,93.49,"4,129","4,493","5,080","4,942","3,988","5,317","4,129","4,493","5,080","4,942","3,988","5,317",380,462,623,650,671,0.09,0.10,0.12,0.13,0.13,10,15,28,23,23,31,21,0.53,"4,135","4,514","5,099","4,967","4,007","5,343",32,72,99,93,84,112,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,186,137,156,72,70,93,1,1,0,0,0,0,24.18,22.15,0.00,0.00,0.00,"1,200",9,1974,2012,11
Fergana,Furkat DH,"124,284",MDH,40.473928,70.771715,50,50,50,50,50,0.40,"4,697","5,087","5,254","5,212","4,063","5,417","22,984","24,778","25,828","25,639","21,244","28,325",4.89,4.87,4.92,4.92,5.23,125.94,135.77,141.52,140.49,155.21,"2,355","2,828","3,209","3,377","2,533","3,377","2,355","2,828","3,209","3,377","2,533","3,377",246,279,426,470,440,0.10,0.10,0.13,0.14,0.13,15,25,21,10,11,15,17,0.77,"2,099","2,539","2,782","2,923","2,209","2,945",5,4,4,5,3,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,101,116,124,76,89,119,0,2,1,0,0,0,0.00,78.77,35.95,0.00,0.00,620,12,1986,2016,7
Fergana,Fergana CH,"318,000",MCH,40.438739,71.764056,180,180,180,180,180,0.57,"19,767","8,848","11,499","13,160","12,346","16,461","59,537","45,735","62,432","67,215","53,526","71,368",3.01,5.17,5.43,5.11,4.34,90.62,69.61,95.03,102.31,108.63,"5,313","3,772","4,822","7,730","6,166","8,221","5,313","3,772","4,822","7,730","6,166","8,221",981,675,955,"1,568","1,477",0.18,0.18,0.20,0.20,0.18,47,42,62,69,61,81,60,1.10,"5,321","3,772","4,823","7,749","6,183","8,244",0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"6,000",33,1960,2021,2
Fergana,Rishtan DH,"212,283",MDH,40.371556,71.268925,100,100,100,100,100,0.47,"8,246","7,919","8,220","8,143","7,444","9,925","40,394","39,560","43,301","40,053","33,663","44,884",4.90,5.00,5.27,4.92,4.52,110.67,108.38,118.63,109.73,122.97,"4,416","4,455","4,775","4,822","4,150","5,533","4,338","4,405","4,740","4,722","4,083","5,444",454,473,591,578,753,0.10,0.11,0.12,0.12,0.14,35,57,72,65,54,72,60,1.49,"4,412","4,427","4,743","4,795","4,142","5,523",3,2,5,7,9,12,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,174,134,172,130,116,155,2,1,2,0,0,0,45.33,22.59,42.17,0.00,0.00,"8,492",85,2021,2021,2
Fergana,Uchkuprik,,MDH,,,,,,,125,,,,,"13,835",,,,,,"51,362",,,,,,3.71,,,,,112.57,,,,,"6,486",,,,,,,,,,,,771,,,,,0.12,,,,,18,,,4,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,"1,725",14,1984,2018,5
Namangan,Namangan RPC,"2,997,500",RPC,40.985037,71.69755,210,210,210,210,266,0.55,"19,042","17,571","20,656","19,706","14,853","19,804","100,892","84,442","105,070","100,431","81,973","109,297",5.30,4.81,5.09,5.10,5.52,103.92,86.97,108.22,103.44,112.57,"11,852","11,055","11,721","11,397","8,448","11,264","11,852","11,055","11,721","11,397","8,448","11,264","2,141","3,681","4,063","4,203","4,187",0.18,0.33,0.35,0.37,0.37,277,135,177,166,137,183,188,2.04,"11,883","11,171","11,544","11,645","8,565","11,420",180,202,232,188,161,215,162,193,252,199,160,213,13.63,17.28,21.83,17.09,18.68,94,111,89,86,47,63,2,0,2,1,1,1,16.83,0.00,17.33,8.59,11.68,"3,438",13,1974,2013,10
Namangan,Yangikurgan IDPC,"222,417",IDPC,41.193101,71.73017,95,95,75,75,105,0.47,"6,874","7,366","8,002","8,354","6,061","8,081","46,725","47,905","51,733","52,503","35,383","47,177",6.80,6.50,6.47,6.28,5.84,121.92,125.00,134.98,136.99,123.10,"5,542","5,440","5,774","5,904","3,886","5,181","5,542","5,440","5,774","5,891","3,870","5,160",449,451,489,659,655,0.08,0.08,0.08,0.11,0.13,17,22,21,29,15,20,22,0.49,"5,093","5,448","5,653","5,756","4,200","5,600",75,34,35,48,50,67,1,3,9,15,11,15,0.20,0.55,1.59,2.61,2.62,33,31,29,33,16,21,1,0,0,0,0,0,19.63,0.00,0.00,0.00,0.00,"5,000",48,2015,2022,1
Namangan,Chust IDPC,"281,618",IDPC,41.016153,71.205602,130,130,130,130,130,0.46,"9,911","9,452","9,714","10,715","8,016","10,688","37,468","34,264","36,554","39,522","29,115","38,820",3.78,3.63,3.76,3.69,3.63,78.96,72.21,77.04,83.29,81.81,"5,967","6,161","6,715","6,892","5,332","7,109","5,967","6,161","6,715","6,892","5,332","7,109","1,066","1,165","1,346","1,387","1,391",0.18,0.19,0.20,0.20,0.20,19,18,10,19,19,25,18,0.34,"6,005","6,219","6,776","6,949","5,356","7,141",5,8,12,2,6,8,18,24,22,48,32,43,3.00,3.86,3.25,6.91,5.97,59,65,52,73,45,60,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"3,860",30,1991,2016,7
Namangan,Namangan CMH #1,"223,580",CMH,41.005064,71.70672,230,230,230,230,230,1.03,"15,851","15,370","18,176","18,855","14,070","18,760","89,008","79,431","90,260","97,220","68,869","91,825",5.62,5.17,4.97,5.16,4.89,106.03,94.62,107.52,115.81,109.38,"8,366","9,328","10,054","9,996","7,557","10,076","8,366","9,328","10,054","9,996","7,557","10,076","1,152","1,202","1,354","1,561","1,644",0.14,0.13,0.13,0.16,0.16,77,65,104,76,41,55,75,0.97,"8,289","9,263","10,022","9,989","7,574","10,099",122,87,153,160,137,183,8,9,28,23,18,24,0.97,0.97,2.79,2.30,2.38,0,0,0,0,0,0,0,1,1,1,1,1,0.00,10.80,9.98,10.01,13.20,"9,903",43,1986,2019,4
Namangan,Namangan DH,"188,277",MDH,40.930082,71.584688,135,135,135,135,135,0.72,"7,691","7,431","7,598","8,263","6,504","8,672","38,827","36,942","37,244","41,024","32,420","43,227",5.05,4.97,4.90,4.96,4.98,78.80,74.97,75.58,83.26,87.73,"3,756","4,101","3,936","4,137","3,281","4,375","3,756","4,101","3,936","4,137","3,281","4,375",522,640,636,572,863,0.14,0.16,0.16,0.14,0.20,16,27,38,23,24,32,27,0.82,"3,756","4,100","3,920","4,145","3,270","4,360",43,12,16,11,15,20,15,16,16,11,9,12,3.99,3.90,4.08,2.65,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"2,323",17,1986,2017,6
Namangan,Mingbulak DH,"134,038",MDH,40.860317,71.454747,75,75,75,75,75,0.56,"5,624","5,351","5,678","5,945","4,877","6,503","33,609","29,345","29,482","31,572","24,125","32,167",5.98,5.48,5.19,5.31,4.95,122.77,107.20,107.70,115.33,117.50,"2,945","3,275","3,432","3,357","2,574","3,432","2,945","3,275","3,432","3,357","2,574","3,432",209,350,307,337,492,0.07,0.11,0.09,0.10,0.14,9,15,11,13,11,15,13,0.47,"2,958","3,260","3,421","3,344","2,563","3,417",18,15,25,25,11,15,1,0,10,5,1,1,0.34,0.00,2.92,1.50,0.39,13,39,105,102,47,63,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"1,347",18,1990,2014,9
Namangan,Davlatabad DH,"205,844",DMH,40.998645,71.5914,95,95,95,95,95,0.46,"8,783","3,746","8,314","8,075","6,158","8,211","48,392","40,763","43,224","45,220","33,750","45,000",5.51,10.88,5.20,5.60,5.48,139.56,117.56,124.65,130.41,129.78,"5,017","1,910","4,589","4,113","3,181","4,241","5,017","1,910","4,589","4,113","3,181","4,241",931,376,997,"1,026","1,247",0.19,0.20,0.22,0.25,0.29,53,29,35,29,25,33,36,1.10,"5,049","1,936","4,608","4,129","3,193","4,257",135,51,56,58,45,60,36,15,37,30,12,16,7.13,7.75,8.03,7.27,3.76,142,62,69,70,49,65,1,8,2,2,0,0,19.81,413.22,43.40,48.44,0.00,"6,705",71,1965,2016,7
Namangan,Uchkurgan DH,"179,592",MDH,41.110946,72.068019,160,160,160,160,145,0.81,"7,350","8,284","8,350","7,966","6,507","8,676","29,835","30,511","33,658","34,411","26,469","35,292",4.06,3.68,4.03,4.32,4.07,56.37,57.65,63.60,65.02,66.68,"2,330","3,079","3,284","3,191","2,533","3,377","2,330","3,079","3,284","3,191","2,533","3,377",527,623,688,719,836,0.23,0.20,0.21,0.23,0.25,12,10,14,16,11,15,13,0.52,"2,340","3,100","3,294","3,263","2,542","3,389",11,3,4,7,11,15,4,9,10,8,10,13,1.71,2.90,3.04,2.45,3.93,26,25,21,36,40,53,0,1,1,0,0,0,0.00,32.26,30.36,0.00,0.00,"2,590",18,1971,2019,4
Namangan,Turakurgon DH,"239,502",MDH,41.000177,71.503204,110,110,110,110,110,0.46,"9,074","8,299","9,717","9,966","7,550","10,067","42,215","37,441","43,847","43,144","32,221","42,961",4.65,4.51,4.51,4.33,4.27,105.14,93.25,109.21,107.46,107.00,"5,623","5,696","6,144","6,388","4,533","6,044","5,623","5,696","6,144","6,388","4,364","5,819",876,862,925,995,550,0.16,0.15,0.15,0.16,0.09,5,7,6,24,20,27,14,0.28,"5,447","5,742","6,183","6,407","4,790","6,387",270,283,278,292,159,212,9,10,13,24,19,25,1.65,1.74,2.10,3.75,3.97,76,92,86,112,84,112,0,0,0,1,2,3,0.00,0.00,0.00,15.61,41.75,"1,750",16,1979,2022,1
Namangan,Narin DH,"173,785",MDH,40.909346,72.121249,90,90,90,90,90,0.52,"5,152","4,806","4,818","5,577","3,977","5,303","5,152","4,806","5,218","18,307","3,977","5,303",1.00,1.00,1.08,3.28,1.00,15.68,14.63,15.88,55.73,16.14,"3,185","3,520","3,393","3,356","2,588","3,451","3,185","3,520","3,393","3,356","2,588","3,451",699,741,943,"1,003",873,0.22,0.21,0.28,0.30,0.25,9,9,3,6,11,15,8,0.31,"3,176","3,511","3,390","3,350","2,577","3,436",14,12,33,39,11,15,8,6,5,7,4,5,2.52,1.71,1.47,2.09,1.55,11,3,4,11,7,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,"1,936",22,1984,2016,7
Namangan,Pop DH,"226,280",MDH,40.882031,71.110287,125,145,145,145,145,0.64,"10,012","9,849","10,977","11,896","9,041","12,055","46,988","42,780","45,764","53,445","42,323","56,431",4.69,4.34,4.17,4.49,4.68,88.78,80.83,86.47,100.98,106.62,"4,414","4,541","5,194","5,337","4,285","5,713","4,414","4,541","5,194","5,337","4,285","5,713",600,657,690,800,968,0.14,0.14,0.13,0.15,0.17,28,30,36,36,51,68,40,0.94,"4,412","4,543","5,191","5,341","4,276","5,701",9,13,11,12,7,9,7,8,9,10,8,11,1.59,1.76,1.73,1.87,1.87,87,129,146,127,67,89,0,1,0,2,1,1,0.00,22.01,0.00,37.45,23.39,"6,343",44,2018,0,
Namangan,Uychi DH,"222,262",MDH,,,,,,,120,0.54,"5,904","6,130","6,307","6,114",,"8,431","29,699","30,226","30,913","30,926","31,640","42,186",5.03,4.93,4.90,5.06,5.00,67.81,69.01,70.58,70.61,96.32,"4,778","6,082","5,222","5,484",,"5,203",,,,,,,849,"1,045",916,"1,110","1,132",0.18,0.17,0.18,0.20,0.22,48,52,36,36,,28,40,1.14,"3,910","5,013","4,303","4,371",,"4,370",18,33,41,28,,27,29,37,32,26,,17,7.42,7.38,7.44,5.95,3.89,91,51,36,59,,19,0,0,0,0,,0,0.00,0.00,0.00,0.00,0.00,"3,200",27,1963,2017,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,All,,,,,,,,,"5,182",,"361,585","332,011","365,056","383,562","276,754","393,768","1,761,002","1,549,615","1,716,821","1,786,147","1,220,874","1,756,588",4.87,4.67,4.70,4.66,4.46,93.10,81.93,90.77,94.43,92.87,"182,379","187,816","203,068","212,562","148,547","210,774",,,,,,,"30,974","34,080","39,214","42,054","43,453",16.98,18.15,19.31,19.78,20.62,"1,730","1,624","1,901","1,824","1,473","2,004","1,817",1.13,"181,233","187,116","201,167","202,760","148,604","210,501","2,542","2,671","3,222","3,281","2,129","3,078","1,188","1,325","1,498","1,527","1,026","1,417",6.56,7.08,7.45,7.53,6.90,"2,752","2,350","3,140","2,944","2,193","2,959",24,34,24,26,22,29,13.24,18.17,11.93,12.82,14.80,"204,846",40,1988,2077,
All regions,All,"10,296,500",,,,,,,,"5,002",0.49,"353,370","324,511","357,412","376,348","271,651","384,833","1,707,399","1,501,634","1,665,897","1,741,277","1,186,858","1,714,732",4.83,4.63,4.66,4.63,4.46,93.52,82.25,91.25,95.37,93.92,"176,696","182,262","197,524","207,596","144,950","206,446",,,,,,,"28,566","31,508","36,681","39,917","41,375",16.17,17.29,18.57,19.23,20.04,"1,667","1,624","1,857","1,786","1,447","1,969","1,781",1.13,"175,357","181,418","195,454","197,621","144,908","205,573","2,476","2,653","3,157","3,214","2,089","3,024","1,070","1,252","1,418","1,442",968,"1,340",6.10,6.90,7.25,7.30,6.68,"2,738","2,307","3,083","2,899","2,190","2,955",21,33,24,24,20,27,11.98,18.19,12.28,12.14,13.80,"175,606",35,1988,2140,
,,,,,,,,,,,,34.32,31.52,34.71,36.55,26.38,37.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Population,Crude birth rate (2022),,,,,,,,Nb of live births (2023),Nb of live births registered in PCs,Delta,Delta (%),,,,,,,,,,,5.22,4.2,4.31,4.3,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andijan,"3,322,700",26.04,,,,,,,,"86,506","75,697","10,809",12.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Fergana,"3,976,300",25.48,,,,,,,,"101,308","60,297","41,011",40.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namangan,"2,997,500",27.47,,,,,,,,"82,330","69,578","12,752",15.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,"10,296,500",26.24,,,,,,,,"270,144","205,573","64,571",23.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
